date,open,high,low,close,volume,name
04/01/2016,54.32,54.8,53.39,54.8,53778000,MSFT
05/01/2016,54.93,55.39,54.54,55.05,34079700,MSFT
06/01/2016,54.32,54.4,53.64,54.05,39518900,MSFT
07/01/2016,52.7,53.49,52.07,52.17,56564900,MSFT
08/01/2016,52.37,53.28,52.15,52.33,48754000,MSFT
11/01/2016,52.51,52.85,51.46,52.3,36943800,MSFT
12/01/2016,52.76,53.1,52.06,52.78,36095500,MSFT
13/01/2016,53.8,54.07,51.3,51.64,66883600,MSFT
14/01/2016,52,53.42,51.57,53.11,52381900,MSFT
15/01/2016,51.31,51.97,50.34,50.99,71820700,MSFT
19/01/2016,51.48,51.68,50.06,50.56,43564500,MSFT
20/01/2016,49.98,51.38,49.1,50.79,63273000,MSFT
21/01/2016,51,51.58,50.3,50.48,40191200,MSFT
22/01/2016,51.41,52.33,51.26,52.29,37555800,MSFT
25/01/2016,51.94,52.65,51.65,51.79,34707700,MSFT
26/01/2016,51.79,52.44,51.55,52.17,28900800,MSFT
27/01/2016,52.01,52.2,51.02,51.22,36775200,MSFT
28/01/2016,51.86,52.21,51.25,52.06,62513800,MSFT
29/01/2016,54.73,55.09,54,55.09,83611700,MSFT
01/02/2016,54.88,55.09,54.5,54.71,44208500,MSFT
02/02/2016,54.17,54.26,52.65,53,56313800,MSFT
03/02/2016,53.25,53.39,51.26,52.16,57559800,MSFT
04/02/2016,52.1,52.81,51.37,52,46987100,MSFT
05/02/2016,51.94,52,49.56,50.16,62009000,MSFT
08/02/2016,49.55,49.57,48.19,49.41,59290500,MSFT
09/02/2016,49.02,50.24,48.67,49.28,46740500,MSFT
10/02/2016,49.89,50.39,49.52,49.71,38237000,MSFT
11/02/2016,48.68,50.11,48.51,49.69,48878600,MSFT
12/02/2016,50.25,50.68,49.75,50.5,34243300,MSFT
16/02/2016,50.9,51.09,50.13,51.09,37291200,MSFT
17/02/2016,51.49,52.77,51.45,52.42,40789000,MSFT
18/02/2016,52.33,52.95,52.1,52.19,27176000,MSFT
19/02/2016,51.97,52.28,51.53,51.82,33559100,MSFT
22/02/2016,52.28,53,52.28,52.65,25008300,MSFT
